Superintendência,Processo,Tipo de requerimento,Fase Atual,CPF/CNPJ do titular,Titular,Municipio(s),Substância(s),Tipo(s) de Uso,Situação,doc_limpo
Gerência Regional / MG,002778/1935,Requerimento de Manifesto de Mina,Concessão de Lavra,21.228.861/0001-00,NACIONAL DE GRAFITE LTDA,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,21228861000100
Gerência Regional / MG,807022/1971,Requerimento de Autorização de Pesquisa,Concessão de Lavra,21.624.671/0001-01,COMPANHIA BRASILEIRA DE LITIO,ARAÇUAÍ,"ESPODUMÊNIO, FELDSPATO, MINÉRIO DE LÍTIO","Demais substâncias, Demais substâncias, Industrial",Sim,21624671000101
Gerência Regional / MG,824694/1971,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.964.819/0001-09,ARQUEANA EMPREENDIMENTOS E PARTICIPACOES S.A.,ARAÇUAÍ,"FELDSPATO, PETALITA, QUARTZO","Demais substâncias, Demais substâncias, Demais substâncias",Sim,16964819000109
Gerência Regional / MG,806842/1973,Requerimento de Autorização de Pesquisa,Concessão de Lavra,17.448.739/0001-63,HALBA COMERCIO E INDUSTRIA DE PEDRAS PRECIOSAS S A,CORONEL MURTA,"CAULIM, GEMA","Demais substâncias, Demais substâncias",Sim,17448739000163
Gerência Regional / MG,830337/1979,Requerimento de Autorização de Pesquisa,Concessão de Lavra,18.702.175/0001-06,EMISOL EMPRESA DE MINERACAO SOARES LTDA,ARAÇUAÍ,"CASSITERITA, COLUMBITA, FELDSPATO, QUARTZO, TANTALITA","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias",Sim,18702175000106
Gerência Regional / MG,000306/1958,Requerimento de Autorização de Pesquisa,Concessão de Lavra,18.929.323/0001-20,Água Mineral Sanleny Ltda,TEÓFILO OTONI,ÁGUA MINERAL,Demais substâncias,Sim,18929323000120
Gerência Regional / MG,830260/1986,Requerimento de Autorização de Pesquisa,Concessão de Lavra,20.519.906/0001-24,Alemão Exportação e Mineração de Granitos Ltda,MEDINA,GRANITO,Demais substâncias,Sim,20519906000124
Gerência Regional / MG,807652/1973,Requerimento de Autorização de Pesquisa,Concessão de Lavra,21.624.671/0001-01,COMPANHIA BRASILEIRA DE LITIO,ARAÇUAÍ,"AMBLIGONITA, BERILO, ESPODUMÊNIO, ESPODUMÊNIO, MINÉRIO DE LÍTIO, PETALITA","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Industrial, Industrial",Sim,21624671000101
Gerência Regional / MG,830557/1979,Requerimento de Autorização de Pesquisa,Concessão de Lavra,21.673.108/0001-15,MINERACAO ZE DA ESTRADA INDUSTRIA E COMERCIO LTDA,ITINGA,"FELDSPATO, QUARTZO, TURMALINA, TURMALINA","Demais substâncias, Gema, Industrial, Pedra de coleção",Sim,21673108000115
Gerência Regional / MG,832652/2002,Requerimento de Autorização de Pesquisa,Concessão de Lavra,24.042.913/0001-39,GRANSENA EXPORTACAO E COMERCIO LTDA,ARAÇUAÍ,GRANITO,Revestimento,Sim,24042913000139
